"","Name","commonName","Stage","Group","Order","Family","Species","Lagoon","Year","Year2","Kgs"
"144","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1995-96",1995,3917.75
"145","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1995-96",1995,1170
"146","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1995-96",1995,2955.5
"147","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1995-96",1995,1097
"148","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1995-96",1995,700
"149","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1996-97",1996,7155
"150","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1996-97",1996,8380
"151","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1996-97",1996,258
"152","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1996-97",1996,1600
"153","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1997-98",1997,2782
"154","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1997-98",1997,249
"155","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1997-98",1997,4222
"156","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1997-98",1997,1061
"157","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1997-98",1997,6053
"158","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1998-99",1998,5000
"159","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1998-99",1998,125
"160","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1998-99",1998,4750
"161","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1998-99",1998,991
"162","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1998-99",1998,3924
"163","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1999-00",1999,10645.85
"164","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1999-00",1999,2.6
"165","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1999-00",1999,2939
"166","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2000-01",2000,8825
"167","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2000-01",2000,21281
"168","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","2000-01",2000,40
"169","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2000-01",2000,1898
"170","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2001-02",2001,8900
"171","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","2001-02",2001,227
"172","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2001-02",2001,2560
"173","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2001-02",2001,4350
"174","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2001-02",2001,7354
"175","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2002-03",2002,4561.25
"176","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2002-03",2002,2062
"177","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2002-03",2002,4195
"178","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2002-03",2002,4775
"179","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2003-04",2003,6333
"180","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2003-04",2003,2194.4
"181","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2003-04",2003,3600
"182","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2004-05",2004,969
"183","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2004-05",2004,3348
"184","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2004-05",2004,1715
"185","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2004-05",2004,4464
"186","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2004-05",2004,1773
"187","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2005-06",2005,9265.9
"188","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","2005-06",2005,81.6
"189","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2005-06",2005,2133
"190","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2005-06",2005,1847.07
"191","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2005-06",2005,3041.85
"192","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2006-07",2006,6165
"193","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2006-07",2006,11752
"194","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2006-07",2006,1975.6
"195","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2007-08",2007,5100
"196","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2007-08",2007,8653.3
