"","Year2","spp","model","fit","se","upper","lower"
"204",1984,"Cyprinus carpio","modS_fit",3977.76767531449,0.208524399487195,6036.16921807428,2621.30419263242
"205",1985,"Cyprinus carpio","modS_fit",3673.51140477144,0.197733746926222,5455.45204865245,2473.61463736432
"206",1986,"Cyprinus carpio","modS_fit",3398.18275628609,0.190341170656834,4972.50206287852,2322.30090588145
"207",1987,"Cyprinus carpio","modS_fit",3153.02150018079,0.185238249030935,4566.91397386919,2176.8626773978
"208",1988,"Cyprinus carpio","modS_fit",2936.98314767061,0.18193528609699,4225.98971925441,2041.14789262267
"209",1989,"Cyprinus carpio","modS_fit",2748.49713854329,0.179784331142326,3937.80290522922,1918.38868079176
"210",1990,"Cyprinus carpio","modS_fit",2586.0687680694,0.177981033126152,3691.75124900863,1811.53908324129
"211",1991,"Cyprinus carpio","modS_fit",2447.71091143526,0.176513124358349,3483.99461955558,1719.66072287548
"212",1992,"Cyprinus carpio","modS_fit",2328.91693354708,0.175194859200272,3306.1786713904,1640.52055936872
"213",1993,"Cyprinus carpio","modS_fit",2225.71367183896,0.173904526686768,3151.52565009758,1571.87403785131
"214",1994,"Cyprinus carpio","modS_fit",2135.8869907332,0.172609520339657,3016.51156684828,1512.34733767317
"215",1995,"Cyprinus carpio","modS_fit",2056.82193813008,0.171262641446409,2897.03362615142,1460.29250298805
"216",1996,"Cyprinus carpio","modS_fit",1986.50814904208,0.169857328950318,2790.14357860766,1414.34105988905
"217",1997,"Cyprinus carpio","modS_fit",1923.64921955454,0.168487121930595,2694.46120694959,1373.34555433516
"218",1998,"Cyprinus carpio","modS_fit",1865.74968707841,0.167230970500988,2606.80384460612,1335.36012003203
"219",1999,"Cyprinus carpio","modS_fit",1811.42690424124,0.166246205823219,2525.92489631613,1299.03602209015
"220",2000,"Cyprinus carpio","modS_fit",1761.80916492492,0.165856732410897,2454.82304820692,1264.43799518694
"221",2001,"Cyprinus carpio","modS_fit",1717.48317267682,0.166386489666739,2395.59809651353,1231.32025055497
"222",2002,"Cyprinus carpio","modS_fit",1678.80609772258,0.168264002461272,2350.45961429663,1199.08034012059
"223",2003,"Cyprinus carpio","modS_fit",1647.32267130981,0.172066596970146,2323.98768640061,1167.67915737721
"224",2004,"Cyprinus carpio","modS_fit",1623.50612245481,0.178258556415336,2318.92843272114,1136.6336677132
"225",2005,"Cyprinus carpio","modS_fit",1607.76034776411,0.187254588296289,2338.12961233433,1105.53894112905
"226",2006,"Cyprinus carpio","modS_fit",1602.32181851153,0.199305793934172,2387.06672819507,1075.56072050798
"227",2007,"Cyprinus carpio","modS_fit",1607.69910125712,0.214363332705385,2468.30256210131,1047.15541760106
"228",2008,"Cyprinus carpio","modS_fit",1623.83391869456,0.232231806375171,2583.78036035882,1020.53434415638
"229",2009,"Cyprinus carpio","modS_fit",1654.55157656425,0.252028538780191,2738.98413761559,999.4730827081
"230",2010,"Cyprinus carpio","modS_fit",1699.15664464362,0.273248225557279,2934.76824516292,983.768755095097
"231",1965,"Sprattus sprattus","modS_fit",1647.36412291133,0.974865307857118,11575.6890226462,234.440347191966
"232",1966,"Sprattus sprattus","modS_fit",1603.14156964863,0.94328094980579,10575.3633616142,243.02360159691
"233",1967,"Sprattus sprattus","modS_fit",1565.27835362552,0.909026271629226,9641.8809913909,254.109786930193
"234",1968,"Sprattus sprattus","modS_fit",1534.37562019651,0.871899296789312,8775.1347887975,268.293148825358
"235",1969,"Sprattus sprattus","modS_fit",1509.1190254174,0.833047577349218,7985.45058009313,285.19871358971
"236",1970,"Sprattus sprattus","modS_fit",1489.55545425768,0.79270343627491,7270.93282700235,305.156917839875
"237",1971,"Sprattus sprattus","modS_fit",1475.65730434076,0.751228239006597,6629.70294556105,328.455814345684
"238",1972,"Sprattus sprattus","modS_fit",1466.84017811721,0.709318803281275,6060.23243576896,355.039205334692
"239",1973,"Sprattus sprattus","modS_fit",1463.16319696226,0.667340421407574,5558.23998206612,385.166266273559
"240",1974,"Sprattus sprattus","modS_fit",1464.70264536968,0.625742810310965,5119.91516739179,419.021364458627
"241",1975,"Sprattus sprattus","modS_fit",1471.16973651576,0.585175609208723,4741.7631632094,456.442112173091
