taxa_name,year,stratum,n_obs,depth,temp_bottom,weight,number
Gadus morhua,1984,622,4,431.4035088,2.975,13.625,6.5
Gadus morhua,1984,623,4,348.0987654,2.325,253.75,155.25
Gadus morhua,1984,624,6,267.4830918,2.066666667,26.83333333,21
Gadus morhua,1984,625,6,334.7189542,NA,18.25,7.5
Gadus morhua,1984,626,6,342.4176471,2.15,23.96666667,11.16666667
Gadus morhua,1984,627,9,440.7552083,NA,4.733333333,2.333333333
Gadus morhua,1984,628,9,335.3650794,NA,24.27777778,13
Gadus morhua,1984,629,3,343.9789474,2.166666667,22.93333333,13.33333333
Gadus morhua,1984,630,1,358.2674419,2.7,0,0
Gadus morhua,1984,631,6,446.0100503,NA,0.666666667,0.166666667
Gadus morhua,1984,633,14,349.1159794,NA,98.5,54.07142857
Gadus morhua,1984,634,6,254.1149826,1.233333333,83.25,48
Gadus morhua,1984,635,10,237.752809,1.36,49.15,29.9
Gadus morhua,1984,636,7,260.7598039,1.471428571,68.92857143,32.14285714
Gadus morhua,1984,637,6,267.0714286,NA,406.5833333,224.3333333
Gadus morhua,1984,638,12,331.4475524,3.091666667,32.75416667,19.5
Gadus morhua,1984,639,11,339.0459016,NA,24,11
Gadus morhua,1984,641,2,657.2962963,NA,0,0
Gadus morhua,1984,642,3,899.7183099,NA,0,0
Gadus morhua,1984,645,1,480.9651163,3.6,10,1
Gadus morhua,1984,646,2,653.1428571,4.25,0,0
Gadus morhua,1984,647,1,905,4,0,0
Gadus morhua,1984,651,4,685.1014493,NA,0,0
Gadus morhua,1984,735,1,442.3164557,4,0,0
Gadus morhua,1984,736,1,639.4626866,3.7,0,0
Gadus morhua,1985,201,4,157.3267327,0.175,156.75,164
Gadus morhua,1985,202,2,250.6455696,0.65,25.75,23
Gadus morhua,1985,203,5,434.9714286,1.16,3.2,2.6
Gadus morhua,1985,204,2,491.8425197,1.9,0,0
Gadus morhua,1985,205,9,174.004065,-0.622222222,40.94444444,37.55555556
Gadus morhua,1985,206,12,171.0827338,-0.166666667,71.04166667,71.58333333
Gadus morhua,1985,207,13,161.3190789,-0.753846154,164.7307692,164.3076923
Gadus morhua,1985,208,4,350.8988764,NA,40.625,29.5
Gadus morhua,1985,209,5,246.5486726,-0.6,118.4,92.8
Gadus morhua,1985,210,6,235.0251572,-0.6,58.08333333,30.5
Gadus morhua,1985,211,3,343.125,1.4,56.5,31.33333333
Gadus morhua,1985,212,4,537,3.85,0.625,0.25
Gadus morhua,1985,213,6,230.1811024,0.916666667,67.66666667,57.83333333
Gadus morhua,1985,214,9,240.2453532,1.211111111,266.8333333,214.1111111
Gadus morhua,1985,215,8,261.8274336,NA,88.4375,63.75
Gadus morhua,1985,216,2,345.2222222,3.15,6.25,4
Gadus morhua,1985,217,1,437.443038,3.7,0,0
Gadus morhua,1985,218,3,594.2808989,3.866666667,0,0
Gadus morhua,1985,219,2,854.4428571,3.85,0,0
Gadus morhua,1985,222,2,337.2954545,2.35,8.5,5.5
Gadus morhua,1985,223,2,440.373494,3.3,0,0
Gadus morhua,1985,224,2,579.1071429,3.9,0,0
Gadus morhua,1985,227,3,448.8,3.8,0,0
Gadus morhua,1985,228,10,252.7040498,0.03,3.69,4.2
Gadus morhua,1985,229,4,339.9052632,2.325,24.625,16.5
Gadus morhua,1985,230,2,598.8876404,3.95,0,0
Gadus morhua,1985,231,2,844.5441176,3.85,0,0
Gadus morhua,1985,234,3,253.8105263,-0.566666667,63,61.33333333
Gadus morhua,1985,235,2,447.4358974,3.4,0.75,1
Gadus morhua,1985,236,2,842.6470588,3.55,0,0
Gadus morhua,1985,237,2,146.5833333,-0.15,90.75,106.5
Gadus morhua,1985,238,2,150.4931507,NA,67.125,71.5
Gadus morhua,1985,240,1,452.2372881,NA,0,0
Gadus morhua,1985,328,14,132.9944751,-1.228571429,3.714285714,6.285714286
Gadus morhua,1985,341,15,129.7178218,NA,5.8,11.73333333
Gadus morhua,1985,342,7,142.9777778,NA,2.228571429,2.571428571
Gadus morhua,1985,343,6,155.7333333,-1.416666667,13,32.33333333
Gadus morhua,1985,344,16,217.3381643,-0.8625,25.796875,24.625
Gadus morhua,1985,345,15,309.3190476,NA,52.23333333,36.26666667
Gadus morhua,1985,346,9,315.9352941,NA,293.3777778,159.6666667
Gadus morhua,1985,3471,2,211.3333333,-1,1.5,2
Gadus morhua,1985,3472,5,216.1842105,-0.64,9.1,4.6
Gadus morhua,1985,348,26,162.5588235,-1.130769231,31.71153846,36.84615385
Gadus morhua,1985,3492,21,124.5551601,NA,37.23333333,38.80952381
Gadus morhua,1985,350,6,73.72093023,-1.166666667,9.095,7.333333333
Gadus morhua,1985,3501,12,80.30693069,NA,64.45833333,86.33333333
Gadus morhua,1985,3632,18,78.41762452,-0.144444444,182.9972222,182.4444444
Gadus morhua,1985,364,34,119.6786704,NA,11.84705882,9.705882353
Gadus morhua,1985,365,13,159.6888889,-0.992307692,34.26923077,24.15384615
Gadus morhua,1985,366,1,206.6153846,0.3,13.5,11
Gadus morhua,1985,3661,15,227.8495935,NA,187.7333333,120.8
Gadus morhua,1985,368,3,325.699115,1.666666667,379.8333333,205.3333333
Gadus morhua,1985,369,11,223.2739726,0.281818182,218.3181818,128.7272727
Gadus morhua,1985,370,16,131.9820359,-0.9375,17.79375,16.25
Gadus morhua,1985,371,14,79.89808917,-0.892857143,10.49285714,8.785714286
Gadus morhua,1985,372,29,69.11051213,0.117241379,109.9310345,75.86206897
Gadus morhua,1985,384,12,75.11734694,-0.691666667,5.391666667,4.666666667
Gadus morhua,1985,385,24,132.3224756,-1.1875,29.60833333,20.5
Gadus morhua,1985,386,10,224.9126984,0.18,340.9,251.6
Gadus morhua,1985,387,8,317.4313725,2.35,539.9375,284.25
Gadus morhua,1985,388,5,309.2592593,NA,519.5,305.8
Gadus morhua,1985,389,9,226.6386555,0.466666667,281.2222222,248.4444444
Gadus morhua,1985,390,12,121.8125,-1.041666667,20.0875,9.416666667
Gadus morhua,1985,391,4,215.0632911,-0.05,71.675,197
Gadus morhua,1985,392,3,308.2891566,1.533333333,137.8333333,164.6666667
Gadus morhua,1985,609,2,255.097561,-0.8,23.75,15.5
Gadus morhua,1985,617,3,359.7676768,1.933333333,39.33333333,16.33333333
Gadus morhua,1985,618,8,164.2362637,NA,81.6875,51.625
Gadus morhua,1985,619,9,167.7688679,NA,4.733333333,1.777777778
Gadus morhua,1985,620,15,239.4574468,-0.313333333,20.96666667,9.666666667
Gadus morhua,1985,621,14,251.3089888,0.085714286,9.592857143,5.571428571
